Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,number_of_beds
103026,ST CATHERINES REHAB HOSPITAL,10/1/2020,9/30/2021,272
170122,VIA CHRISTI HOSPITAL WICHITA,10/1/2020,9/30/2021,666
173028,VIA CHRISTI REHAB CENTER  INC,10/1/2020,9/30/2021,58
180056,DEACONESS HENDERSON HOSPITAL,10/1/2020,9/30/2021,118
220084,EMERSON HOSPITAL,10/1/2020,9/30/2021,160
230227,MCLAREN MACOMB,10/1/2020,9/30/2021,284
250072,CENTRAL MISSISSIPPI MEDICAL CENTER,10/1/2020,9/30/2021,289
264034,SOUTHEAST BEHAVIORAL HOSPITAL,6/4/2021,8/31/2021,30
301303,WEEKS MEDICAL CENTER,10/1/2020,9/30/2021,25
301310,ANDROSCOGGIN VALLEY HOSPITAL,10/1/2020,9/30/2021,25
341320,ALLEGHANY MEMORIAL HOSPITAL,10/1/2020,9/30/2021,25
420010,CAROLINA PINES REGIONAL MEDICAL CENT,10/1/2020,9/30/2021,116
422008,PH N GREENVILLE LT ACUTE CARE HOSP,10/1/2020,9/30/2021,44
514011,HIGHLAND-CLARKSBURG HOSPITAL INC.,10/1/2020,9/30/2021,18
521352,UPLAND HILLS HEALTH,10/1/2020,9/30/2021,69
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTE,10/1/2020,9/30/2021,112
50077,SCRIPPS MERCY HOSPITAL,10/1/2020,9/30/2021,523
50324,SCRIPPS MEMORIAL HOSPITAL - LA JOLLA,10/1/2020,9/30/2021,365
50424,SCRIPPS GREEN HOSPITAL,10/1/2020,9/30/2021,150
50503,SCRIPPS MEMORIAL HOSPITAL-ENCINITAS,10/1/2020,9/30/2021,171
50660,USC NORRIS CANCER HOSPITAL,1/1/2021,9/30/2021,60
70003,DAY KIMBALL HOSPITAL,10/1/2020,9/30/2021,104
100211,ADVENTHEALTH DADE CITY,10/1/2020,9/30/2021,120
150075,BLUFFTON REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,44
153030,REHABILITATION HOSPITAL OF FT WAYNE,10/1/2020,9/30/2021,36
190151,RICHLAND PARISH HOSPITAL SERVICE DIS,10/1/2020,9/30/2021,38
221302,FAIRVIEW HOSPITAL,10/1/2020,9/30/2021,24
230041,BAY REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,362
230105,MCLAREN NORTHERN MICHIGAN,10/1/2020,9/30/2021,187
250058,SOUTH CENTRAL REGIONAL MEDICAL CENTR,10/1/2020,9/30/2021,268
250138,RIVER OAKS HOSPITAL,10/1/2020,9/30/2021,158
260025,HANNIBAL REGIONAL HOSPITAL,10/1/2020,9/30/2021,99
260040,COXHEALTH,10/1/2020,9/30/2021,867
370014,ALLIANCEHEALTH DURANT,10/1/2020,9/30/2021,111
10038,STRINGFELLOW MEMORIAL HOSPITAL,10/1/2020,9/30/2021,125
10150,REGIONAL MEDICAL CTR OF CENTRAL AL,10/1/2020,9/30/2021,57
44021,OAKRIDGE BEHAVIORAL CENTER,1/1/2021,12/31/2021,
230141,MCLAREN FLINT,10/1/2020,9/30/2021,349
510048,LOGAN REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,140
30010,CARONDELET ST. MARYS HOSPITAL,10/1/2020,9/30/2021,360
30083,ABRAZO SCOTTSDALE CAMPUS,10/1/2020,9/30/2021,128
450369,CHILDRESS REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,39
10120,MONROE COUNTY HOSPITAL,10/1/2020,9/30/2021,46
100028,PARRISH MEDICAL CENTER,10/1/2020,9/30/2021,210
100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,10/1/2020,9/30/2021,186
100253,JUPITER MEDICAL CENTER,10/1/2020,9/30/2021,242
101313,MARINERS HOSPITAL,10/1/2020,9/30/2021,16
250050,OKTIBBEHA COUNTY HOSPITAL,10/1/2020,9/30/2021,88
250060,JEFFERSON COUNTY HOSPITAL,10/1/2020,9/30/2021,30
251309,FIELD MEMORIAL COMMUNITY HOSPITAL,10/1/2020,9/30/2021,16
251334,CHOCTAW REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,88
260094,COX MEDICAL CENTER BRANSON,10/1/2020,9/30/2021,157
400016,AUXILIO MUTUO HOSPITAL,10/1/2020,9/30/2021,500
420043,CHEROKEE MEDICAL CENTER,10/1/2020,9/30/2021,31
30011,CARONDELET ST. JOSEPH HOSPITAL,10/1/2020,9/30/2021,486
40019,FORREST CITY MEDICAL CENTER,10/1/2020,9/30/2021,62
170012,SALINA REGIONAL HEALTH CENTER,10/1/2020,9/30/2021,207
170014,ADVENTHEALTH OTTAWA,10/1/2020,9/30/2021,44
170027,PRATT REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,81
180078,PAUL B. HALL REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,72
190118,DESOTO REGIONAL HEALTH SYSTEM,10/1/2020,9/30/2021,34
191302,ST MARTIN HOSPITAL,10/1/2020,9/30/2021,25
220019,HARRINGTON MEMORIAL HOSPITAL,10/1/2020,9/30/2021,119
220101,NEWTON WELLESLEY HOSPITAL,10/1/2020,9/30/2021,273
251318,NORTH SUNFLOWER COUNTY HOSPITAL,10/1/2020,9/30/2021,35
341329,BLUE RIDGE REGIONAL HOSPITAL,11/1/2020,10/31/2021,25
453086,HIGHLANDS REGIONAL REHAB HOSPITAL,1/1/2021,11/30/2021,41
31309,SAGE MEMORIAL HOSPITAL,10/1/2020,9/30/2021,25
51336,MEE MEMORIAL HOSPITAL,10/1/2020,9/30/2021,61
260190,LEES SUMMIT MEDICAL CENTER,10/1/2020,9/30/2021,80
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,10/1/2020,9/30/2021,18
50254,MARSHALL HOSPITAL,11/1/2020,10/31/2021,111
180115,ROCKCASTLE HOSPT. & RESPIR CARE CTR,11/1/2020,10/31/2021,173
501331,PULLMAN REGIONAL HOSPITAL,1/1/2021,12/31/2021,25
43034,SOUTHEAST REHAB LLC,11/1/2020,10/31/2021,10
370039,HILLCREST HOSPITAL CLAREMORE,11/1/2020,10/31/2021,41
30014,HONORHEALTH JOHN C. LINCOLN MED CTR,1/1/2021,12/31/2021,258
41307,CROSSRIDGE COMMUNITY HOSPITAL,10/1/2020,9/30/2021,15
190002,LAFAYETTE GENERAL MEDICAL CENTER,10/1/2020,9/30/2021,432
190145,LASALLE GENERAL HOSPITAL  INC.,10/1/2020,9/30/2021,46
230071,STRAITH HOSPITAL FOR SPECIAL SURGERY,11/1/2020,10/31/2021,34
520049,BELLIN MEMORIAL HOSPITAL,10/1/2020,9/30/2021,175
521356,OCONTO HOSPITAL & MEDICAL CENTER,10/1/2020,9/30/2021,10
453314,TEXAS SCOTTISH RITE HOSPITAL FOR CRI,10/1/2020,9/30/2021,
60064,CENTURA PORTER ADVENTIST HOSPITAL,1/1/2021,12/31/2021,224
74008,NATCHAUG HOSPITAL,10/1/2020,9/30/2021,57
260074,MOBERLY REGIONAL MEDICAL CENTER,11/1/2020,10/31/2021,67
62011,CRAIG HOSPITAL,10/1/2020,9/30/2021,93
191316,POINTE COUPEE GENERAL HOSPITAL,11/1/2020,10/31/2021,25
220002,MOUNT AUBURN HOSPITAL,10/1/2020,9/30/2021,201
220030,BAYSTATE WING HOSPITAL & MEDICAL CTR,10/1/2020,9/30/2021,68
301308,VALLEY REGIONAL HOSPITAL,10/1/2020,9/30/2021,25
370170,LAWTON INDIAN HOSPITAL,10/1/2020,9/30/2021,38
470012,SOUTHWESTERN VERMONT MEDICAL CENTER,10/1/2020,9/30/2021,78
53038,TOTALLY KIDS REHABILITATION HOSPITAL,1/1/2021,12/31/2021,
190202,OCHSNER MEDICAL CENTER - BATON ROUGE,10/1/2020,9/30/2021,171
220016,BAYSTATE FRANKLIN MEDICAL CENTER,10/1/2020,9/30/2021,89
220065,BAYSTATE NOBLE HOSPITAL,10/1/2020,9/30/2021,85
233027,REHABILITATION INSTITUTE OF MICHIGAN,11/1/2020,10/31/2021,69
320060,ZUNI COMPREHENSIVE HEALTH CENTER,10/1/2020,9/30/2021,27
430084,USPHS HOSPITAL - ROSEBUD,10/1/2020,9/30/2021,35
673038,MEMORIAL HERMANN REHAB HOSP KATY,10/1/2020,9/30/2021,35
170086,STORMONT-VAIL REGIONAL HEALTH CENTER,10/1/2020,9/30/2021,438
452073,KINDRED HOSPITAL SAN ANTONIO CENTRAL,6/1/2021,8/31/2021,44
30068,MT. GRAHAM REGIONAL MEDICAL CENTER,1/1/2021,9/27/2021,25
250095,SOUTH SUNFLOWER COUNTY HOSPITAL,10/1/2020,9/30/2021,47
251317,SIMPSON GENERAL HOSPITAL CAH,1/1/2021,12/31/2021,35
454149,PERIMETER BEHAVIORAL HOSPITAL OF DAL,1/1/2021,12/31/2021,77
104082,PALM POINT BEHAVIORAL HEALTHCARE,11/1/2020,10/31/2021,74
454138,GARLAND BEHAVIORAL HOSPITAL,5/1/2021,9/15/2021,72
670132,METHODIST SOUTHLAKE MEDICAL CENTER,6/1/2021,9/30/2021,54
50696,KECK HOSPITAL OF USC,1/1/2021,9/30/2021,331
371314,PHYSICIANS HOSPITAL AT ANADARKO,10/1/2020,10/31/2021,25
371316,STROUD REGIONAL MEDICAL CENTER,10/1/2020,10/31/2021,25
170075,MERCY HOSPITAL  INC.,10/1/2020,9/30/2021,16
220088,NEW ENGLAND BAPTIST HOSPITAL,10/1/2020,9/30/2021,75
250097,SOUTHWEST MS REGIONAL MED CENTER,10/1/2020,9/30/2021,160
513025,PETERSON HEALTHCARE AND REHAB,1/1/2021,12/31/2021,172
201312,WALDO COUNTY GENERAL HOSPITAL,10/1/2020,9/30/2021,25
503300,SEATTLE CHILDRENS HOSPITAL,10/1/2020,9/30/2021,357
341316,HIGHLANDS CASHIERS HOSPITAL,12/1/2020,11/30/2021,24
30113,USPHS HOSPITAL-WHITERIVER,10/1/2020,9/30/2021,40
50030,OROVILLE HOSPITAL,12/1/2020,11/30/2021,279
111311,JENKINS COUNTY MEDICAL CENTER,1/1/2021,6/30/2021,25
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,10/1/2020,9/30/2021,31
430090,SIOUX FALLS SPECIALTY HOSPITAL,1/1/2021,12/31/2021,33
131326,CASSIA REGIONAL HOSPITAL,1/1/2021,12/31/2021,25
200018,THE AROOSTOOK MEDICAL CENTER,10/1/2020,9/30/2021,108
200019,SOUTHERN MAINE HEALTH CARE,10/1/2020,9/30/2021,180
200021,MID COAST HOSPITAL,1/1/2021,9/30/2021,92
200033,EASTERN MAINE MEDICAL CENTER,10/1/2020,9/30/2021,377
201300,BLUE HILL MEMORIAL HOSPITAL,10/1/2020,9/30/2021,25
201302,LINCOLNHEALTH,10/1/2020,9/30/2021,67
201309,MAYO REGIONAL HOSPITAL,10/1/2020,9/30/2021,25
201313,SEBASTICOOK VALLEY HOSPITAL,10/1/2020,9/30/2021,25
220033,BEVERLY HOSPITAL,10/1/2020,9/30/2021,337
220171,LAHEY CLINIC HOSPITAL  INC.,10/1/2020,9/30/2021,345
221303,ATHOL MEMORIAL HOSPITAL,10/1/2020,9/30/2021,21
340003,NORTHERN HOSP OF SURRY CO,10/1/2020,9/30/2021,133
343025,CAREPARTNERS REHAB HOSPITAL,12/1/2020,11/30/2021,74
362032,AULTMAN SPECIALTY HOSPITAL,10/1/2020,9/30/2021,30
464013,SALT LAKE CITY BEHAVIORAL HEALTH,1/1/2021,12/31/2021,118
70016,ST. MARYS HOSPITAL,10/1/2020,9/30/2021,164
104076,UNIVERSITY BEHAVIORAL CENTER,1/1/2021,12/31/2021,112
201301,CHARLES A DEAN MEMORIAL HOSPITAL,10/1/2020,9/30/2021,25
250043,NESHOBA COUNTY GENERAL HOSPITAL,10/1/2020,9/30/2021,208
251315,BAPTIST MEDICAL CENTER - LEAKE  INC.,10/1/2020,9/30/2021,25
264033,PERIMETER BEHAVIORAL HOSPITAL OF SP,1/1/2021,12/31/2021,
370057,MUSCOGEE CREEK NATION MED CENTER,10/1/2020,9/30/2021,66
454104,UBH DENTON HOSPITAL,1/1/2021,12/31/2021,104
104026,FT. LAUDERDALE HOSPITAL,1/1/2021,12/31/2021,182
111311,JENKINS COUNTY MEDICAL CENTER,7/1/2021,12/31/2021,25
111335,LIBERTY REGIONAL MEDICAL CENTER,12/1/2020,11/30/2021,133
220095,HENRY HEYWOOD MEMORIAL HOSPITAL,10/1/2020,9/30/2021,134
414003,EMMA P. BRADLEY HOSPITAL,10/1/2020,9/30/2021,
440137,VANDERBILT BEDFORD HOSPITAL,1/1/2021,6/30/2021,49
442014,SSH -MEMPHIS  INC,12/1/2020,11/30/2021,39
480002,GOV. JUAN F. LUIS HOSPITAL,10/1/2020,9/30/2021,77
524038,BELLIN PSYCHIATRIC CENTER  INC.,10/1/2020,9/30/2021,80
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,10/1/2020,9/30/2021,10
70002,SAINT FRANCIS HOSPITAL,10/1/2020,9/30/2021,466
201308,HOULTON REGIONAL HOSPITAL,10/1/2020,9/30/2021,25
220060,BETH ISRAEL DEACONESS - PLYMOUTH,10/1/2020,9/30/2021,169
220083,BETH ISRAEL DEACONESS HOSPITAL- NEED,10/1/2020,9/30/2021,58
344007,OLD VINEYARD,1/1/2021,12/31/2021,164
371333,CREEK NATION COMMUNITY HOSPITAL,10/1/2020,9/30/2021,25
